$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	
$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	56.18
$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	138.89
$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	227.27
$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	333.33
$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	500
$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	666.67
$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	1,000.00
$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	3,333.33
$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	5,000.00
$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	12,500.00
$3.75	$7.50	$15.00	$37.50	$75.00	$150.00	$225.00	8,333.33
$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	25,000.00
$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	25,000.00
$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	2,123.14
$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	8,333.33
$7.00	$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	8,333.33
$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	8,333.33
$8.00	$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	2,777.78
$10.00	$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	361.79