$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	
$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	14.36
$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	33.01
$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	14.33
$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	100.76
$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	61.59
$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	325.86
$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	91.65
$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	147.34
$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	87.98
$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	1,898.49
$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	1,948.96
$1.30	$3.25	$6.50	$13.00	$32.50	$65.00	488.79
$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	986.97
$1.50	$3.75	$7.50	$15.00	$37.50	$75.00	293.27
$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	968.35
$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	431.28
$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	462.37
$2.10	$5.25	$10.50	$21.00	$52.50	$105.00	15,396.79
$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	256,613.17
$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	307,935.80
$2.60	$6.50	$13.00	$26.00	$65.00	$130.00	256,613.17
$2.80	$7.00	$14.00	$28.00	$70.00	$140.00	153,967.90
$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	181,138.71
$3.30	$8.25	$16.50	$33.00	$82.50	$165.00	30,793.58
$3.40	$8.50	$17.00	$34.00	$85.00	$170.00	15,396.79
$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	733.18
$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	114.05
$2.10	$5.25	$10.50	$21.00	$52.50	$105.00	2,960.92
$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	4,596.06
$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	6,158.72
$2.60	$6.50	$13.00	$26.00	$65.00	$130.00	581.01
$2.80	$7.00	$14.00	$28.00	$70.00	$140.00	2,368.74
$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	342.84
$3.30	$8.25	$16.50	$33.00	$82.50	$165.00	7,366.89
$3.50	$8.75	$17.50	$35.00	$87.50	$175.00	5,788.27
$3.80	$9.50	$19.00	$38.00	$95.00	$190.00	6,812.74
$4.00	$10.00	$20.00	$40.00	$100.00	$200.00	512.97
$4.20	$10.50	$21.00	$42.00	$105.00	$210.00	2,547.03
$4.30	$10.75	$21.50	$43.00	$107.50	$215.00	9,997.92
$4.50	$11.25	$22.50	$45.00	$112.50	$225.00	5,132.26
$4.60	$11.50	$23.00	$46.00	$115.00	$230.00	6,843.02
$4.80	$12.00	$24.00	$48.00	$120.00	$240.00	6,665.28
$5.00	$12.50	$25.00	$50.00	$125.00	$250.00	3,413.92
$6.00	$15.00	$30.00	$60.00	$150.00	$300.00	2,553.36
$6.20	$15.50	$31.00	$62.00	$155.00	$310.00	20,948.01
$6.40	$16.00	$32.00	$64.00	$160.00	$320.00	20,529.05
$8.00	$20.00	$40.00	$80.00	$200.00	$400.00	6,579.82
$10.00	$25.00	$50.00	$100.00	$250.00	$500.00	5,175.39
$20.00	$50.00	$100.00	$200.00	$500.00	$1,000.00	76,983.95
$102.00	$255.00	$510.00	$1,020.00	$2,550.00	$5,100.00	256,613.17
$1,020.00	$2,550.00	$5,100.00	$10,200.00	$25,500.00	$51,000.00	1,026,452.67