$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	3,333.33
$0.02	$0.04	$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	571.43
$0.03	$0.06	$0.15	$0.30	$0.60	$0.90	$1.50	$3.00	1,000.00
$0.04	$0.08	$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	800
$0.05	$0.10	$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	222.22
$0.06	$0.12	$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	800
$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	58.54
$0.15	$0.30	$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	114.29
$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	63.53
$0.25	$0.50	$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	237.81
$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	81.09
$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	188.98
$0.45	$0.90	$2.25	$4.50	$9.00	$13.50	$22.50	$45.00	517.6
$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	40.93
$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	$60.00	319.44
$0.70	$1.40	$3.50	$7.00	$14.00	$21.00	$35.00	$70.00	2,328.29
$0.75	$1.50	$3.75	$7.50	$15.00	$22.50	$37.50	$75.00	862.07
$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	$40.00	$80.00	1,569.86
$0.90	$1.80	$4.50	$9.00	$18.00	$27.00	$45.00	$90.00	4,140.79
$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	$100.00	112.13
$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	$55.00	$110.00	1,594.90
$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	$120.00	1,366.12
$1.30	$2.60	$6.50	$13.00	$26.00	$39.00	$65.00	$130.00	13,888.89
$1.40	$2.80	$7.00	$14.00	$28.00	$42.00	$70.00	$140.00	19,417.48
$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	$75.00	$150.00	512.16
$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	$160.00	4,938.27
$1.70	$3.40	$8.50	$17.00	$34.00	$51.00	$85.00	$170.00	1,811.59
$1.80	$3.60	$9.00	$18.00	$36.00	$54.00	$90.00	$180.00	25,000.00
$1.90	$3.80	$9.50	$19.00	$38.00	$57.00	$95.00	$190.00	20,000.00
$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	$200.00	543.04
$2.10	$4.20	$10.50	$21.00	$42.00	$63.00	$105.00	$210.00	4,878.05
$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	$220.00	1,470.59
$2.30	$4.60	$11.50	$23.00	$46.00	$69.00	$115.00	$230.00	1,359.62
$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	$120.00	$240.00	2,538.07
$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	$125.00	$250.00	1,829.83
$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	$130.00	$260.00	3,262.64
$2.70	$5.40	$13.50	$27.00	$54.00	$81.00	$135.00	$270.00	4,338.39
$2.80	$5.60	$14.00	$28.00	$56.00	$84.00	$140.00	$280.00	3,710.58
$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	$300.00	648.72
$3.10	$6.20	$15.50	$31.00	$62.00	$93.00	$155.00	$310.00	14,285.71
$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	$160.00	$320.00	5,934.72
$3.30	$6.60	$16.50	$33.00	$66.00	$99.00	$165.00	$330.00	3,395.59
$3.40	$6.80	$17.00	$34.00	$68.00	$102.00	$170.00	$340.00	12,987.01
$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	$175.00	$350.00	16,129.03
$3.60	$7.20	$18.00	$36.00	$72.00	$108.00	$180.00	$360.00	8,333.33
$3.70	$7.40	$18.50	$37.00	$74.00	$111.00	$185.00	$370.00	20,000.00
$3.80	$7.60	$19.00	$38.00	$76.00	$114.00	$190.00	$380.00	10,000.00
$3.90	$7.80	$19.50	$39.00	$78.00	$117.00	$195.00	$390.00	29,850.75
$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	$400.00	18,181.82
$4.10	$8.20	$20.50	$41.00	$82.00	$123.00	$205.00	$410.00	32,786.89
$4.20	$8.40	$21.00	$42.00	$84.00	$126.00	$210.00	$420.00	7,812.50
$4.30	$8.60	$21.50	$43.00	$86.00	$129.00	$215.00	$430.00	20,000.00
$4.50	$9.00	$22.50	$45.00	$90.00	$135.00	$225.00	$450.00	6,666.67
$4.60	$9.20	$23.00	$46.00	$92.00	$138.00	$230.00	$460.00	29,850.75
$4.90	$9.80	$24.50	$49.00	$98.00	$147.00	$245.00	$490.00	20,000.00
$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	$500.00	984.74
$5.30	$10.60	$26.50	$53.00	$106.00	$159.00	$265.00	$530.00	10,000.00
$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	$275.00	$550.00	10,000.00
$5.70	$11.40	$28.50	$57.00	$114.00	$171.00	$285.00	$570.00	66,666.67
$5.80	$11.60	$29.00	$58.00	$116.00	$174.00	$290.00	$580.00	20,000.00
$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	$300.00	$600.00	18,181.82
$6.20	$12.40	$31.00	$62.00	$124.00	$186.00	$310.00	$620.00	18,181.82
$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	$325.00	$650.00	18,181.82
$6.60	$13.20	$33.00	$66.00	$132.00	$198.00	$330.00	$660.00	10,000.00
$6.70	$13.40	$33.50	$67.00	$134.00	$201.00	$335.00	$670.00	20,000.00
$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	$400.00	$800.00	20,000.00
$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	$500.00	$1,000.00	1,470.59
$50.00	$100.00	$250.00	$500.00	$1,000.00	$1,500.00	$2,500.00	$5,000.00	20,000.00
$1,000.00	$2,000.00	$5,000.00	$10,000.00	$20,000.00	$30,000.00	$50,000.00	$100,000.00	2,000,000.00